127.0.0.1, 2018-10-11 07:04:17, GET, /admin/static/_2.17.2/images/folder_locked.png, HTTP/1.1, 200, 0.000467
127.0.0.1, 2018-10-11 07:04:17, GET, /admin/static/_2.17.2/images/folder.png, HTTP/1.1, 200, 0.000975
127.0.0.1, 2018-10-11 07:04:17, GET, /admin/static/_2.17.2/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000434
127.0.0.1, 2018-10-11 07:04:17, POST, /admin/default/check_version, HTTP/1.1, 200, 0.266571
127.0.0.1, 2018-10-11 07:04:19, GET, /welcome/default/index, HTTP/1.1, 200, 0.017995
127.0.0.1, 2018-10-11 07:04:19, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000708
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/default/edit/welcome/models/menu.py, HTTP/1.1, 200, 0.028339
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.001898
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000371
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.001467
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000368
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000370
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000379
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000627
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000413
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000358
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000368
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000357
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.001247
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000619
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000724
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.001927
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000470
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000589
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000365
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000365
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000384
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000514
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000537
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.008329
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000413
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000360
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.002812
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000369
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000956
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.003137
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000524
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000440
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/js/ajax_editor.js, HTTP/1.1, 200, 0.000429
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000381
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/js/typeahead.min.js, HTTP/1.1, 200, 0.000328
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000342
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000590
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/images/files_toggle.png, HTTP/1.1, 200, 0.000612
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/default/edit/welcome/models/menu.py, HTTP/1.1, 200, 0.013038
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/static/_2.17.2/images/save_icon.png, HTTP/1.1, 200, 0.001292
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.042808
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.047454
127.0.0.1, 2018-10-11 07:05:42, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.083460
127.0.0.1, 2018-10-11 07:05:42, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.113964
127.0.0.1, 2018-10-11 07:05:42, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.140683
127.0.0.1, 2018-10-11 07:05:44, GET, /welcome/default/index, HTTP/1.1, 200, 0.308663
127.0.0.1, 2018-10-11 07:05:56, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.058348
127.0.0.1, 2018-10-11 07:05:58, GET, /admin/default/site, HTTP/1.1, 200, 0.018968
127.0.0.1, 2018-10-11 07:06:04, POST, /admin/default/site, HTTP/1.1, 303, 0.061666
127.0.0.1, 2018-10-11 07:06:04, GET, /admin/default/design/myr, HTTP/1.1, 200, 0.157985
127.0.0.1, 2018-10-11 07:06:13, POST, /admin/default/create_file, HTTP/1.1, 303, 0.023924
127.0.0.1, 2018-10-11 07:06:13, GET, /admin/default/design/myr, HTTP/1.1, 200, 0.068353
127.0.0.1, 2018-10-11 07:06:15, GET, /admin/default/edit/myr/models/blockchain_logger.py, HTTP/1.1, 200, 0.012766
127.0.0.1, 2018-10-11 07:06:15, GET, /admin/default/edit/myr/models/blockchain_logger.py, HTTP/1.1, 200, 0.014130
127.0.0.1, 2018-10-11 07:06:15, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.008897
127.0.0.1, 2018-10-11 07:06:15, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.110146
127.0.0.1, 2018-10-11 07:06:15, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.130170
127.0.0.1, 2018-10-11 07:06:15, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.131501
